arch	file	size	sha256	source
win32	liballeg.dll.a	936030	1e2dbdbbfee4c148c361fba6dadd36a51b47655e7708e8768e718bc9ac5a4eab	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-allegro-4.1.zip
win32	libbass.dll.a	67944	4a4827621f9c58472a609dd6b7ad8bae2bfc8defee44792231a6d63c2d4330ee	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-bass-2.4.8.zip
win32	libbassmod.dll.a	20346	400b8e4a66134bc5c4ad6999ad0e67bc089a86243e1f116b2e3b3977289cc441	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-bassmod-2.0.zip
win32	libbig_int.a	56314	8c3f5c2024ffd9744ad15435ad85f1920430bf67e0f054be5018a5c187540666	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-big_int-1.0.7.zip
win32	libbgd-static.a	331172	41c003bda34348595f9941755852867c0c468519c5b3a1849632386ffa32ec30	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-gd-73cab5d8af96.zip
win32	libcgui.dll.a	159180	be5f898954e0d57bf1f591261b7375d37c5878716d3fe5256cf55f8ff412c46d	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-cgui-2.0.1.zip
win32	libcl.a	1957228	6abe19d755a9767946bc9a230c8726c7ef1cecd6ef6fd54b3f269d5387c4d819	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-cryptlib-3.4.2.zip
win32	libdisphelper.a	27850	ed64cfca6218a88a6c0139fe25e33a58cd4d60ceb4c0cfa19378d9739bff099f	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-disphelper-0.81.zip
win32	libfcgi.dll.a	64610	7133f03fe1bd460181359f32cd065b615cb1ef6b3c69875e53c3e304632c6a84	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-fastcgi-2005.zip
win32	libfmod.dll.a	180458	d33dae9c3a19fb66e3d57505ca238312d2db8109741d1e5209bd1b17ff31361b	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-fmod-3.74.zip
win32	libFreeImage.a	4950568	1542e95c6cd6347b70fcc1a5fc7807677f21fe7bc908b9d311d10f71fc655522	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-freeimage-3.15.4.zip
win32	libFreeImage.dll.a	237194	2be0ad24f82686cd76f61cd655ae5e064b5a498bb1541f50929bb0b577c8fe08	generated from FreeImage SourceForge Binary Distribution/3.18.0/FreeImage3180Win32Win64.zip
win32	libgd.a	331172	41c003bda34348595f9941755852867c0c468519c5b3a1849632386ffa32ec30	derived alias for libbgd-static.a
win32	libgdsl.a	91494	24fc597ef4de4be7eb67bc868d8c9e45094798ab97f2f46a348778b52ccc0a20	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-gdsl-1.6.zip
win32	libgrx20.a	473434	f9439e181fe009b2afdaa74c522ec61aa0897f649afd867df99dfc7faf8b2e16	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-grx-2.4.9.zip
win32	libgsl.a	2558068	aee90c8997a25338e8ad1ff4dc7224a3cef96bb48491449f1cc977af46d68cdf	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-gsl-1.15.zip
win32	libgslcblas.a	273216	a3f878da53bcd8e28a05c3b510d3b42a3b1f751e2347944ee52e93c15a80f38f	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-gsl-1.15.zip
win32	libimagequant.a	47082	26c7048ef742c037a4d92411bd5f33d37927dc819a6fea800926f24fe36e98ed	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-gd-73cab5d8af96.zip
win32	libiup.a	469102	0279d5bcc12c856ab1459f35a8c90198fe4c2dd46b55a4cd95ab8d9301168b59	IUP SourceForge 3.32 Windows Libraries/Dynamic/iup-3.32_Win32_dllw6_lib.zip
win32	libjs.dll.a	319202	c03f0e78ce4b1486daca854aec20d32c9ad40b0ad5f0343ff7ff0b435092436b	FreeBASIC SourceForge 0.18.5/FreeBASIC-v0.18.5b-win32.exe
win32	libmySQL.dll.a	66834	5ce86edcb4e200d08d24dec222020eaec80fd78f3e8107d527a86bade9f1adef	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-mysql-4.0.17.zip
win32	libmysqlclient.dll.a	66834	5ce86edcb4e200d08d24dec222020eaec80fd78f3e8107d527a86bade9f1adef	derived alias for libmySQL.dll.a
win32	libNewton.dll.a	184096	b4be1461151d764d4cb432a84e5ce0df996e959faabffc67115c1808c8ee9c0b	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-newton-2005.zip
win32	libode_single.dll.a	446882	bb8feccbece2776764519c7a8cb0b9fe062855808a17df2a15a80639e06673f9	MSYS2 mingw-w64-i686-ode 0.16.6-1 package
win32	libpanel.a	127906	f5f88443570e6cf913da7adc7041b3d0b39e398e7fbdedfc943a3093125cb4d1	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-pdcurses-3.4.zip
win32	libpcre.a	284392	f6d22f9d83d94beaac4e29ea139b9183b663ba061bd3fa086620270f889a8f40	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-pcre-8.32.zip
win32	libpcre16.a	264946	7d2e903b553aca8547a67d94fdd3d2a9a71e767ea00aaec324b49bdc8fb8a6fd	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-pcre-8.32.zip
win32	libpcre32.a	253296	f58830751c7533d8137ff5d06f31dceb6e466c0d3128a3fb7fd1ce951234aec8	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-pcre-8.32.zip
win32	libpcreposix.a	3318	27e02b6dfbd008b2706611a2ace4a1ddd3ec723fd15ffa4cbfd0220f53335b66	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-pcre-8.32.zip
win32	libpdcurses.a	127906	f5f88443570e6cf913da7adc7041b3d0b39e398e7fbdedfc943a3093125cb4d1	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-pdcurses-3.4.zip
win32	libpdf.a	359970	f3fbb47bd2790eef3109d581e212bce1e4e2cba40a67d0359023bcad5f98a3ce	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-pdflib-4.0.2.zip
win32	libpq.dll.a	92164	3d73541e0b35462b295ee9465c26cd1c0959e36505eb5d661b30e6fd7887e688	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-postgresql-2006.zip
win32	libquicklz.a	2848	f25fb155391b9195c61bb97f54f4ba78819c1c9ad9868ae09261c4f3032104b4	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-quicklz-1.5.0.zip
win32	libSDL2_image.dll.a	39544	31c06f07281b71bacce8fcdb272de93e74fa8e86e67be20efba9a6cc35250e5b	SDL_image 2.8.5 official MinGW development package/SDL2_image-devel-2.8.5-mingw.zip
win32	libSDL_mixer.dll.a	65824	718b565c4e8119f2ffb739b4ff35c9b03cd30063c3f586ad814424c7243f97c5	generated from SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
