arch	import_library	runtime_dll	status
win32	liballeg.dll.a	alleg40.dll	not-staged
win32	libbass.dll.a	BASS.dll	not-staged
win32	libbassmod.dll.a	BASSMOD.dll	not-staged
win32	libcgui.dll.a	CGUI20.DLL	not-staged
win32	libfcgi.dll.a	libfcgi.dll	not-staged
win32	libfmod.dll.a	FMOD.DLL	not-staged
win32	libFreeImage.dll.a	FreeImage.dll	staged
win32	libiup.a	iup.dll	staged
win32	libjs.dll.a	js32.dll	not-staged
win32	libmySQL.dll.a	LIBMYSQL.DLL	not-staged
win32	libmysqlclient.dll.a	LIBMYSQL.DLL	not-staged
win32	libNewton.dll.a	Newton.dll	not-staged
win32	libode_single.dll.a	libode_single.dll	staged
win32	libpq.dll.a	libpq.dll	not-staged
win32	libSDL2_image.dll.a	SDL2_image.dll	staged
win32	libSDL_mixer.dll.a	SDL_mixer.dll	staged
win32	libsqlite.dll.a	SQLITE.DLL	not-staged
win32	libwx-c-0-9-0-2.dll.a	wx-c-0-9-0-2.dll	not-staged
win64	libiup.a	iup.dll	staged
win32	libatk-1.0.dll.a	libatk-1.0-0.dll	staged
win32	libgdk_pixbuf-2.0.dll.a	libgdk_pixbuf-2.0-0.dll	staged
win32	libgdk-3.dll.a	libgdk-3-0.dll	staged
win32	libgdkglext-win32-1.0.dll.a	libgdkglext-win32-1.0-0.dll	staged
win32	libgdk-win32-2.0.dll.a	libgdk-win32-2.0-0.dll	staged
win32	libglade-2.0.dll.a	libglade-2.0-0.dll	staged
win32	libgoocanvas-3.0.dll.a	libgoocanvas-3.0-9.dll	staged
win32	libgtk-3.dll.a	libgtk-3-0.dll	staged
win32	libgtkglext-win32-1.0.dll.a	libgtkglext-win32-1.0-0.dll	staged
win32	libgtk-win32-2.0.dll.a	libgtk-win32-2.0-0.dll	staged
win32	libpango-1.0.dll.a	libpango-1.0-0.dll	staged
win32	libpangocairo-1.0.dll.a	libpangocairo-1.0-0.dll	staged
win32	libpangoft2-1.0.dll.a	libpangoft2-1.0-0.dll	staged
win32	libpangowin32-1.0.dll.a	libpangowin32-1.0-0.dll	staged
